symbol,mpid,firm_name,add_count,cancel_count,execute_count,trade_count,total_shares_added,total_shares_executed,total_shares_traded,first_seen_timestamp,last_seen_timestamp,add_to_execute_count,add_to_execute_avg_ns,add_to_execute_min_ns,add_to_execute_max_ns,add_to_cancel_count,add_to_cancel_avg_ns,add_to_cancel_min_ns,add_to_cancel_max_ns,reaction_to_trade_count,reaction_to_trade_avg_ns,reaction_to_trade_min_ns,reaction_to_trade_max_ns,reaction_to_execute_count,reaction_to_execute_avg_ns,reaction_to_execute_min_ns,reaction_to_execute_max_ns
JPME,JPMS,J.P. Morgan Securities LLC,22,21,0,0,2200,0,0,57403612580927,57599644855187,0,,,,0,,,,1,402889575894,402889575894,402889575894,0,,,
PAPR,UNKNOWN,,235,223,0,0,129400,0,0,57000366429911,57598316367462,0,,,,0,,,,0,,,,0,,,
BKD,UNKNOWN,,909,822,89,0,220810,17573,0,57000366692441,57599993027923,89,53269285161,12212,391784092794,0,,,,827,9694249075,823,56874668536,691,54554683242,1884,198141319855
BKD,GSCO,GOLDMAN SACHS & CO. LLC,2,0,0,0,8600,0,0,57000367042177,57097741119556,0,,,,0,,,,2,18229953691,305518,36459601864,1,7734781993,7734781993,7734781993
BKD,SGAS,"SG Americas Securities, LLC",1,0,0,0,100,0,0,57097767483241,57097767483241,0,,,,0,,,,1,14596706,14596706,14596706,1,21002006,21002006,21002006
BKD,UBSS,UBS Securities LLC,1,0,0,0,100,0,0,57252104610977,57252104610977,0,,,,0,,,,1,10251214744,10251214744,10251214744,1,109240755745,109240755745,109240755745
ACLC,UNKNOWN,,624,616,0,0,282942,0,0,57000366830840,57599948695454,0,,,,0,,,,0,,,,0,,,
ORRF,UNKNOWN,,768,581,153,0,73755,4330,0,57000367033687,57599993309809,153,14492756878,8759,233041118344,0,,,,674,15143010477,856,100929374848,633,27729015485,856,115883303424
ORRF,UBSS,UBS Securities LLC,2,0,0,0,2015,0,0,57018024243924,57018024336706,0,,,,0,,,,2,17273842849,17273796458,17273889240,0,,,
ORRF,WBPX,"SUMMIT SECURITIES GROUP, LLC",331,325,0,0,33100,0,0,57053574752201,57599739164933,0,,,,0,,,,6,8834600147,866376082,45888923369,6,16621199377,910950746,45886154550
DJAN,UNKNOWN,,657,639,9,0,343113,2224,0,57000367082472,57599026875913,9,5297134896,17073501,31687572247,0,,,,1,29466,29466,29466,10,73027785,26564,307446963
GTLS-B,UNKNOWN,,701,721,0,0,127508,0,0,57000367382723,57599888491140,0,,,,0,,,,0,,,,0,,,
GTLS-B,VIRT,Virtu Americas LLC,1,0,0,0,100,0,0,57599873661471,57599873661471,0,,,,0,,,,0,,,,0,,,
MYLD,UNKNOWN,,67,64,0,0,55800,0,0,57000367424015,57581367134711,0,,,,0,,,,0,,,,0,,,
MYLD,VIRT,Virtu Americas LLC,4,3,0,0,400,0,0,57002253628459,57300437848286,0,,,,0,,,,0,,,,0,,,
XUSP,UNKNOWN,,690,682,0,0,345000,0,0,57000367735835,57598827614804,0,,,,0,,,,0,,,,0,,,
NVBT,UNKNOWN,,685,673,0,0,311600,0,0,57000367897658,57599847878752,0,,,,0,,,,0,,,,0,,,
TJUL,UNKNOWN,,272,262,0,0,97150,0,0,57000368227373,57598102256513,0,,,,0,,,,0,,,,0,,,
TJUL,UBSS,UBS Securities LLC,1,0,0,0,100,0,0,57599929328400,57599929328400,0,,,,0,,,,0,,,,0,,,
GSC,UNKNOWN,,318,339,0,0,241236,0,0,57000368437822,57599950385949,0,,,,0,,,,0,,,,0,,,
PJUL,UNKNOWN,,343,335,0,0,312700,0,0,57000368458395,57599030030271,0,,,,0,,,,0,,,,0,,,
ITDC,UNKNOWN,,151,146,0,0,143918,0,0,57000368504597,57598017943461,0,,,,0,,,,0,,,,0,,,
IGIC,UNKNOWN,,275,166,37,0,23324,632,0,57000368941528,57599985716104,37,86457077435,2571530,401076936468,0,,,,227,49386908573,130346,290710183791,221,81737523379,24073,259382501952
FCBD,VIRT,Virtu Americas LLC,2,1,0,0,200,0,0,57000370956278,57000432094047,0,,,,0,,,,0,,,,0,,,
FCBD,UNKNOWN,,18,12,0,0,23000,0,0,57000405958474,57305318079213,0,,,,0,,,,0,,,,0,,,
ASHR,UNKNOWN,,947,943,78,0,2933229,63901,0,57000371108091,57599766136000,78,94339251891,2530,445547904625,0,,,,877,6600771670,1842,36598219975,740,45978281453,549,175701286658
ASHR,UBSS,UBS Securities LLC,1,0,0,0,100,0,0,57249065639689,57249065639689,0,,,,0,,,,1,800833650,800833650,800833650,1,125142539427,125142539427,125142539427
KRNT,UNKNOWN,,785,596,126,0,68846,3856,0,57000371287555,57599983333280,126,31632296953,2407,435400024308,0,,,,583,12685065875,718,85643951906,573,23044022604,4733,87434482424
KRNT,JPMS,J.P. Morgan Securities LLC,133,132,0,0,13300,0,0,57050483382836,57599957312742,0,,,,0,,,,1,5545938155,5545938155,5545938155,1,22235746,22235746,22235746
KRNT,WCHV,"WELLS FARGO SECURITIES, LLC",133,132,0,0,13300,0,0,57050669738292,57599957313074,0,,,,0,,,,1,5732293611,5732293611,5732293611,1,208591202,208591202,208591202
EWS,UNKNOWN,,1006,1018,8,0,365061,1500,0,57000371809631,57599742090786,8,260617126166,20319562766,511959606739,0,,,,784,40490547973,913073,136598356611,531,36398634639,35187,84220143938
EWS,UBSS,UBS Securities LLC,1,0,0,0,100,0,0,57243607984561,57243607984561,0,,,,0,,,,1,74490266020,74490266020,74490266020,0,,,
WDTE,VIRT,Virtu Americas LLC,2,1,0,0,200,0,0,57000372303191,57015723480189,0,,,,0,,,,0,,,,0,,,
WDTE,UNKNOWN,,30,26,0,0,6653,0,0,57015695894822,57598624451603,0,,,,0,,,,0,,,,0,,,
TIPX,UNKNOWN,,87,109,0,0,83200,0,0,57000374274874,57599345218585,0,,,,0,,,,0,,,,0,,,
DFIP,UNKNOWN,,11,10,0,0,18986,0,0,57000374357405,57568129141456,0,,,,0,,,,0,,,,0,,,
CARZ,UNKNOWN,,195,169,1,0,30367,40,0,57000374591725,57598005096396,1,10846670878,10846670878,10846670878,0,,,,0,,,,3,10659384123,24846,21852318596
CARZ,VIRT,Virtu Americas LLC,10,8,0,0,1000,0,0,57000805465101,57598032140012,0,,,,0,,,,0,,,,4,26053469115,23059417398,29047470596
OSS,ETMM,"G1 Execution Services, LLC",5,4,0,0,500,0,0,57000375527801,57560000842375,0,,,,0,,,,0,,,,0,,,
OSS,UNKNOWN,,157,40,12,0,55473,710,0,57000684011491,57592352454486,12,156817059018,33882,468722223183,0,,,,114,34465486116,24696,80033788975,129,36893087934,49955,107342792436
OSS,UBSS,UBS Securities LLC,12,0,0,0,9006,0,0,57018030729855,57018031715959,0,,,,0,,,,0,,,,0,,,
FMBH,UNKNOWN,,360,276,50,0,21336,1312,0,57000376165395,57599992947801,50,92419898458,512774030,293321103742,0,,,,313,11467406585,22418,86923208108,262,25265923189,6969,95767831280
BKDT,VIRT,Virtu Americas LLC,52,50,0,0,5200,0,0,57000376642450,57570111211927,0,,,,0,,,,0,,,,0,,,
BKDT,UNKNOWN,,53,51,0,0,13592,0,0,57000377641414,57570055058560,0,,,,0,,,,0,,,,0,,,
NMRK,UNKNOWN,,1319,1007,299,0,278250,23344,0,57000378489031,57599997549078,299,18627785960,24768,299427854157,0,,,,1217,8764964827,4955,89291441159,1186,11882680602,4968,86174973739
NMRK,UBSS,UBS Securities LLC,3,0,0,0,126,0,0,57001033643448,57001034008415,0,,,,0,,,,3,326741327,326547960,326912927,0,,,
AVMV,UNKNOWN,,383,433,5,0,213803,327,0,57000380413836,57599950500831,5,30083850978,22909660,49612504627,0,,,,0,,,,13,8242900097,247410575,14017387644
PBFS,UNKNOWN,,55,28,0,0,8986,0,0,57000382268243,57599995578534,0,,,,0,,,,41,41081465107,66844,112648061938,0,,,
PBFS,UBSS,UBS Securities LLC,1,0,0,0,500,0,0,57030031625579,57030031625579,0,,,,0,,,,0,,,,0,,,
PBFS,VIRT,Virtu Americas LLC,1,0,0,0,100,0,0,57130106571002,57130106571002,0,,,,0,,,,1,2338716678,2338716678,2338716678,0,,,
HTH,UNKNOWN,,649,553,116,0,42746,4848,0,57000385235924,57599992244972,116,16812152582,16215,197986263392,0,,,,587,10409029034,12420,95213570665,547,24654965283,12410,107779015003
UMH,UNKNOWN,,484,426,65,0,38524,4083,0,57000385884131,57599992565436,65,21551907750,25354,88491489134,0,,,,245,35080866571,7803,114470915560,408,55648048793,6834,185378943211
UMH,WBPX,"SUMMIT SECURITIES GROUP, LLC",205,202,0,0,20500,0,0,57007689160444,57596173726563,0,,,,0,,,,0,,,,1,1375107,1375107,1375107
UMH,IMCC,IMC FINANCIAL MARKETS,1,0,0,0,100,0,0,57387447679543,57387447679543,0,,,,0,,,,1,412409651,412409651,412409651,1,392388253,392388253,392388253
PAMC,UNKNOWN,,304,360,2,0,189440,21,0,57000386739938,57596138606351,2,294401673064,252082344439,336721001690,0,,,,0,,,,0,,,
PAMC,FLTU,FLOW TRADERS US LLC,1,0,0,0,100,0,0,57003526184716,57003526184716,0,,,,0,,,,0,,,,0,,,
PAMC,JPMS,J.P. Morgan Securities LLC,182,181,0,0,18200,0,0,57114154516414,57596139091518,0,,,,0,,,,0,,,,0,,,
